Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-01-20-020-XX-NRSITZ-00157	ParlaMint-AT_1999-01-20-020-XX-NRSITZ-00157_d7e424	Sitting Number 157, Legislative period XX, Wednesday, 20. January 1999	1999-01-20	Lower house	Legislative period XX	-	-	Sitting 157	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1999-01-20-020-XX-NRSITZ-00157	ParlaMint-AT_1999-01-20-020-XX-NRSITZ-00157_d7e455	Sitting Number 157, Legislative period XX, Wednesday, 20. January 1999	1999-01-20	Lower house	Legislative period XX	-	-	Sitting 157	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1999-01-20-020-XX-NRSITZ-00157	ParlaMint-AT_1999-01-20-020-XX-NRSITZ-00157_d7e610	Sitting Number 157, Legislative period XX, Wednesday, 20. January 1999	1999-01-20	Lower house	Legislative period XX	-	-	Sitting 157	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
