Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1999-11-18-021-XXI-NRSITZ-00003	ParlaMint-AT_1999-11-18-021-XXI-NRSITZ-00003_d7e371	Sitting Number 3, Legislative period XXI, Thursday, 18. November 1999	1999-11-18	Lower house	Legislative period XXI	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1999-11-18-021-XXI-NRSITZ-00003	ParlaMint-AT_1999-11-18-021-XXI-NRSITZ-00003_d7e405	Sitting Number 3, Legislative period XXI, Thursday, 18. November 1999	1999-11-18	Lower house	Legislative period XXI	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1999-11-18-021-XXI-NRSITZ-00003	ParlaMint-AT_1999-11-18-021-XXI-NRSITZ-00003_d7e672	Sitting Number 3, Legislative period XXI, Thursday, 18. November 1999	1999-11-18	Lower house	Legislative period XXI	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
