Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-03-21-026-XXVI-NRSITZ-00016	ParlaMint-AT_2018-03-21-026-XXVI-NRSITZ-00016_d7e410	Sitting Number 16, Legislative period XXVI, Wednesday, 21. March 2018	2018-03-21	Lower house	Legislative period XXVI	-	-	Sitting 16	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-03-21-026-XXVI-NRSITZ-00016	ParlaMint-AT_2018-03-21-026-XXVI-NRSITZ-00016_d7e441	Sitting Number 16, Legislative period XXVI, Wednesday, 21. March 2018	2018-03-21	Lower house	Legislative period XXVI	-	-	Sitting 16	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-03-21-026-XXVI-NRSITZ-00016	ParlaMint-AT_2018-03-21-026-XXVI-NRSITZ-00016_d7e689	Sitting Number 16, Legislative period XXVI, Wednesday, 21. March 2018	2018-03-21	Lower house	Legislative period XXVI	-	-	Sitting 16	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
