Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-12-11-026-XXVI-NRSITZ-00054	ParlaMint-AT_2018-12-11-026-XXVI-NRSITZ-00054_d7e398	Sitting Number 54, Legislative period XXVI, Tuesday, 11. December 2018	2018-12-11	Lower house	Legislative period XXVI	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-12-11-026-XXVI-NRSITZ-00054	ParlaMint-AT_2018-12-11-026-XXVI-NRSITZ-00054_d7e464	Sitting Number 54, Legislative period XXVI, Tuesday, 11. December 2018	2018-12-11	Lower house	Legislative period XXVI	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-12-11-026-XXVI-NRSITZ-00054	ParlaMint-AT_2018-12-11-026-XXVI-NRSITZ-00054_d7e570	Sitting Number 54, Legislative period XXVI, Tuesday, 11. December 2018	2018-12-11	Lower house	Legislative period XXVI	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
