Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-06-13-026-XXVI-NRSITZ-00030	ParlaMint-AT_2018-06-13-026-XXVI-NRSITZ-00030_d7e333	Sitting Number 30, Legislative period XXVI, Wednesday, 13. June 2018	2018-06-13	Lower house	Legislative period XXVI	-	-	Sitting 30	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-13-026-XXVI-NRSITZ-00030	ParlaMint-AT_2018-06-13-026-XXVI-NRSITZ-00030_d7e383	Sitting Number 30, Legislative period XXVI, Wednesday, 13. June 2018	2018-06-13	Lower house	Legislative period XXVI	-	-	Sitting 30	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-13-026-XXVI-NRSITZ-00030	ParlaMint-AT_2018-06-13-026-XXVI-NRSITZ-00030_d7e490	Sitting Number 30, Legislative period XXVI, Wednesday, 13. June 2018	2018-06-13	Lower house	Legislative period XXVI	-	-	Sitting 30	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
