Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-11-21-026-XXVI-NRSITZ-00050	ParlaMint-AT_2018-11-21-026-XXVI-NRSITZ-00050_d7e533	Sitting Number 50, Legislative period XXVI, Wednesday, 21. November 2018	2018-11-21	Lower house	Legislative period XXVI	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-11-21-026-XXVI-NRSITZ-00050	ParlaMint-AT_2018-11-21-026-XXVI-NRSITZ-00050_d7e583	Sitting Number 50, Legislative period XXVI, Wednesday, 21. November 2018	2018-11-21	Lower house	Legislative period XXVI	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-11-21-026-XXVI-NRSITZ-00050	ParlaMint-AT_2018-11-21-026-XXVI-NRSITZ-00050_d7e1051	Sitting Number 50, Legislative period XXVI, Wednesday, 21. November 2018	2018-11-21	Lower house	Legislative period XXVI	-	-	Sitting 50	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
