Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e449	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e486	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e820	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e860	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e916	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_35504	Schieder, Andreas	M	1969	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e946	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e961	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_35504	Schieder, Andreas	M	1969	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e994	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e1019	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_14795	Wöginger, August	M	1974	
ParlaMint-AT-en_2018-05-16-026-XXVI-NRSITZ-00024	ParlaMint-AT_2018-05-16-026-XXVI-NRSITZ-00024_d7e1099	Sitting Number 24, Legislative period XXVI, Wednesday, 16. May 2018	2018-05-16	Lower house	Legislative period XXVI	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
