Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-12-13-026-XXVI-NRSITZ-00058	ParlaMint-AT_2018-12-13-026-XXVI-NRSITZ-00058_d7e411	Sitting Number 58, Legislative period XXVI, Thursday, 13. December 2018	2018-12-13	Lower house	Legislative period XXVI	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-12-13-026-XXVI-NRSITZ-00058	ParlaMint-AT_2018-12-13-026-XXVI-NRSITZ-00058_d7e463	Sitting Number 58, Legislative period XXVI, Thursday, 13. December 2018	2018-12-13	Lower house	Legislative period XXVI	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-12-13-026-XXVI-NRSITZ-00058	ParlaMint-AT_2018-12-13-026-XXVI-NRSITZ-00058_d7e759	Sitting Number 58, Legislative period XXVI, Thursday, 13. December 2018	2018-12-13	Lower house	Legislative period XXVI	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-12-13-026-XXVI-NRSITZ-00058	ParlaMint-AT_2018-12-13-026-XXVI-NRSITZ-00058_d7e793	Sitting Number 58, Legislative period XXVI, Thursday, 13. December 2018	2018-12-13	Lower house	Legislative period XXVI	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
