Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-11-22-026-XXVI-NRSITZ-00052	ParlaMint-AT_2018-11-22-026-XXVI-NRSITZ-00052_d7e333	Sitting Number 52, Legislative period XXVI, Thursday, 22. November 2018	2018-11-22	Lower house	Legislative period XXVI	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-11-22-026-XXVI-NRSITZ-00052	ParlaMint-AT_2018-11-22-026-XXVI-NRSITZ-00052_d7e386	Sitting Number 52, Legislative period XXVI, Thursday, 22. November 2018	2018-11-22	Lower house	Legislative period XXVI	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-11-22-026-XXVI-NRSITZ-00052	ParlaMint-AT_2018-11-22-026-XXVI-NRSITZ-00052_d7e627	Sitting Number 52, Legislative period XXVI, Thursday, 22. November 2018	2018-11-22	Lower house	Legislative period XXVI	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
