Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-07-05-026-XXVI-NRSITZ-00037	ParlaMint-AT_2018-07-05-026-XXVI-NRSITZ-00037_d7e419	Sitting Number 37, Legislative period XXVI, Thursday, 5. July 2018	2018-07-05	Lower house	Legislative period XXVI	-	-	Sitting 37	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-07-05-026-XXVI-NRSITZ-00037	ParlaMint-AT_2018-07-05-026-XXVI-NRSITZ-00037_d7e475	Sitting Number 37, Legislative period XXVI, Thursday, 5. July 2018	2018-07-05	Lower house	Legislative period XXVI	-	-	Sitting 37	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-07-05-026-XXVI-NRSITZ-00037	ParlaMint-AT_2018-07-05-026-XXVI-NRSITZ-00037_d7e645	Sitting Number 37, Legislative period XXVI, Thursday, 5. July 2018	2018-07-05	Lower house	Legislative period XXVI	-	-	Sitting 37	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-07-05-026-XXVI-NRSITZ-00037	ParlaMint-AT_2018-07-05-026-XXVI-NRSITZ-00037_d7e675	Sitting Number 37, Legislative period XXVI, Thursday, 5. July 2018	2018-07-05	Lower house	Legislative period XXVI	-	-	Sitting 37	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-07-05-026-XXVI-NRSITZ-00037	ParlaMint-AT_2018-07-05-026-XXVI-NRSITZ-00037_d7e723	Sitting Number 37, Legislative period XXVI, Thursday, 5. July 2018	2018-07-05	Lower house	Legislative period XXVI	-	-	Sitting 37	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
