Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-03-19-026-XXVI-NRSITZ-00014	ParlaMint-AT_2018-03-19-026-XXVI-NRSITZ-00014_d7e379	Sitting Number 14, Legislative period XXVI, Monday, 19. March 2018	2018-03-19	Lower house	Legislative period XXVI	-	-	Sitting 14	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-03-19-026-XXVI-NRSITZ-00014	ParlaMint-AT_2018-03-19-026-XXVI-NRSITZ-00014_d7e410	Sitting Number 14, Legislative period XXVI, Monday, 19. March 2018	2018-03-19	Lower house	Legislative period XXVI	-	-	Sitting 14	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-03-19-026-XXVI-NRSITZ-00014	ParlaMint-AT_2018-03-19-026-XXVI-NRSITZ-00014_d7e498	Sitting Number 14, Legislative period XXVI, Monday, 19. March 2018	2018-03-19	Lower house	Legislative period XXVI	-	-	Sitting 14	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
