Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-10-25-026-XXVI-NRSITZ-00046	ParlaMint-AT_2018-10-25-026-XXVI-NRSITZ-00046_d7e377	Sitting Number 46, Legislative period XXVI, Thursday, 25. October 2018	2018-10-25	Lower house	Legislative period XXVI	-	-	Sitting 46	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-10-25-026-XXVI-NRSITZ-00046	ParlaMint-AT_2018-10-25-026-XXVI-NRSITZ-00046_d7e408	Sitting Number 46, Legislative period XXVI, Thursday, 25. October 2018	2018-10-25	Lower house	Legislative period XXVI	-	-	Sitting 46	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-10-25-026-XXVI-NRSITZ-00046	ParlaMint-AT_2018-10-25-026-XXVI-NRSITZ-00046_d7e683	Sitting Number 46, Legislative period XXVI, Thursday, 25. October 2018	2018-10-25	Lower house	Legislative period XXVI	-	-	Sitting 46	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
