Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-05-17-026-XXVI-NRSITZ-00026	ParlaMint-AT_2018-05-17-026-XXVI-NRSITZ-00026_d7e370	Sitting Number 26, Legislative period XXVI, Thursday, 17. May 2018	2018-05-17	Lower house	Legislative period XXVI	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-17-026-XXVI-NRSITZ-00026	ParlaMint-AT_2018-05-17-026-XXVI-NRSITZ-00026_d7e413	Sitting Number 26, Legislative period XXVI, Thursday, 17. May 2018	2018-05-17	Lower house	Legislative period XXVI	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-05-17-026-XXVI-NRSITZ-00026	ParlaMint-AT_2018-05-17-026-XXVI-NRSITZ-00026_d7e562	Sitting Number 26, Legislative period XXVI, Thursday, 17. May 2018	2018-05-17	Lower house	Legislative period XXVI	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
