Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-09-26-026-XXVI-NRSITZ-00040	ParlaMint-AT_2018-09-26-026-XXVI-NRSITZ-00040_d7e336	Sitting Number 40, Legislative period XXVI, Wednesday, 26. September 2018	2018-09-26	Lower house	Legislative period XXVI	-	-	Sitting 40	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-09-26-026-XXVI-NRSITZ-00040	ParlaMint-AT_2018-09-26-026-XXVI-NRSITZ-00040_d7e376	Sitting Number 40, Legislative period XXVI, Wednesday, 26. September 2018	2018-09-26	Lower house	Legislative period XXVI	-	-	Sitting 40	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-09-26-026-XXVI-NRSITZ-00040	ParlaMint-AT_2018-09-26-026-XXVI-NRSITZ-00040_d7e984	Sitting Number 40, Legislative period XXVI, Wednesday, 26. September 2018	2018-09-26	Lower house	Legislative period XXVI	-	-	Sitting 40	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
