Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-11-16-026-XXVI-NRSITZ-00048	ParlaMint-AT_2018-11-16-026-XXVI-NRSITZ-00048_d7e398	Sitting Number 48, Legislative period XXVI, Friday, 16. November 2018	2018-11-16	Lower house	Legislative period XXVI	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-11-16-026-XXVI-NRSITZ-00048	ParlaMint-AT_2018-11-16-026-XXVI-NRSITZ-00048_d7e489	Sitting Number 48, Legislative period XXVI, Friday, 16. November 2018	2018-11-16	Lower house	Legislative period XXVI	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-11-16-026-XXVI-NRSITZ-00048	ParlaMint-AT_2018-11-16-026-XXVI-NRSITZ-00048_d7e611	Sitting Number 48, Legislative period XXVI, Friday, 16. November 2018	2018-11-16	Lower house	Legislative period XXVI	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-11-16-026-XXVI-NRSITZ-00048	ParlaMint-AT_2018-11-16-026-XXVI-NRSITZ-00048_d7e634	Sitting Number 48, Legislative period XXVI, Friday, 16. November 2018	2018-11-16	Lower house	Legislative period XXVI	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
