Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-12-12-026-XXVI-NRSITZ-00056	ParlaMint-AT_2018-12-12-026-XXVI-NRSITZ-00056_d7e1300	Sitting Number 56, Legislative period XXVI, Wednesday, 12. December 2018	2018-12-12	Lower house	Legislative period XXVI	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-12-12-026-XXVI-NRSITZ-00056	ParlaMint-AT_2018-12-12-026-XXVI-NRSITZ-00056_d7e1359	Sitting Number 56, Legislative period XXVI, Wednesday, 12. December 2018	2018-12-12	Lower house	Legislative period XXVI	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-12-12-026-XXVI-NRSITZ-00056	ParlaMint-AT_2018-12-12-026-XXVI-NRSITZ-00056_d7e1576	Sitting Number 56, Legislative period XXVI, Wednesday, 12. December 2018	2018-12-12	Lower house	Legislative period XXVI	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
