Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-04-20-026-XXVI-NRSITZ-00022	ParlaMint-AT_2018-04-20-026-XXVI-NRSITZ-00022_d7e575	Sitting Number 22, Legislative period XXVI, Friday, 20. April 2018	2018-04-20	Lower house	Legislative period XXVI	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-04-20-026-XXVI-NRSITZ-00022	ParlaMint-AT_2018-04-20-026-XXVI-NRSITZ-00022_d7e606	Sitting Number 22, Legislative period XXVI, Friday, 20. April 2018	2018-04-20	Lower house	Legislative period XXVI	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-04-20-026-XXVI-NRSITZ-00022	ParlaMint-AT_2018-04-20-026-XXVI-NRSITZ-00022_d7e758	Sitting Number 22, Legislative period XXVI, Friday, 20. April 2018	2018-04-20	Lower house	Legislative period XXVI	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
