Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-01-31-026-XXVI-NRSITZ-00008	ParlaMint-AT_2018-01-31-026-XXVI-NRSITZ-00008_d7e352	Sitting Number 8, Legislative period XXVI, Wednesday, 31. January 2018	2018-01-31	Lower house	Legislative period XXVI	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-01-31-026-XXVI-NRSITZ-00008	ParlaMint-AT_2018-01-31-026-XXVI-NRSITZ-00008_d7e386	Sitting Number 8, Legislative period XXVI, Wednesday, 31. January 2018	2018-01-31	Lower house	Legislative period XXVI	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2018-01-31-026-XXVI-NRSITZ-00008	ParlaMint-AT_2018-01-31-026-XXVI-NRSITZ-00008_d7e729	Sitting Number 8, Legislative period XXVI, Wednesday, 31. January 2018	2018-01-31	Lower house	Legislative period XXVI	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
