Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2013-11-25-ps2013-001-01-005-005	ParlaMint-CZ_2013-11-25-ps2013-001-01-005-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-25	2013-11-25	Lower house	ps2013	-	ps2013/001	ps2013/001/01	ps2013/001/005	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-25-ps2013-001-01-005-005	ParlaMint-CZ_2013-11-25-ps2013-001-01-005-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-25	2013-11-25	Lower house	ps2013	-	ps2013/001	ps2013/001/01	ps2013/001/005	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2013-11-25-ps2013-001-01-005-005	ParlaMint-CZ_2013-11-25-ps2013-001-01-005-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-25	2013-11-25	Lower house	ps2013	-	ps2013/001	ps2013/001/01	ps2013/001/005	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
