Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u1	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u2	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u3	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u4	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u5	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u6	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u7	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u8	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u9	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u10	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-004-009	ParlaMint-CZ_2013-11-27-ps2013-001-02-004-009.u11	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/009	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
