Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2013-11-25-ps2013-001-01-002-002	ParlaMint-CZ_2013-11-25-ps2013-001-01-002-002.u1	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-25	2013-11-25	Lower house	ps2013	-	ps2013/001	ps2013/001/01	ps2013/001/002	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
ParlaMint-CZ-en_2013-11-25-ps2013-001-01-002-002	ParlaMint-CZ_2013-11-25-ps2013-001-01-002-002.u2	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-25	2013-11-25	Lower house	ps2013	-	ps2013/001	ps2013/001/01	ps2013/001/002	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	LubomirZaoralek.1956	Zaorálek, Lubomír	M	1956	
ParlaMint-CZ-en_2013-11-25-ps2013-001-01-002-002	ParlaMint-CZ_2013-11-25-ps2013-001-01-002-002.u3	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-25	2013-11-25	Lower house	ps2013	-	ps2013/001	ps2013/001/01	ps2013/001/002	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	MiroslavaNemcova.1952	Němcová, Miroslava	F	1952	
