Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u1	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u2	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JaroslavFoldyna.1960	Foldyna, Jaroslav	M	1960	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u3	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u4	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JaroslavFoldyna.1960	Foldyna, Jaroslav	M	1960	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u5	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u6	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	PetrBendl.1966	Bendl, Petr	M	1966	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u7	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u8	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	PavelBlazek.1969	Blažek, Pavel	M	1969	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u9	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u10	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	JaroslavFaltynek.1962	Faltýnek, Jaroslav	M	1962	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u11	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u12	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	-	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2013-12-06-ps2013-002-02-001-007	ParlaMint-CZ_2013-12-06-ps2013-002-02-001-007.u13	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-06	2013-12-06	Lower house	ps2013	-	ps2013/002	ps2013/002/02	ps2013/002/007	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
