Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u1	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u2	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Guest	notMP	notMinister	-	-	-	-	JiriRusnok.1960	Rusnok, Jiří	M	1960	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u3	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u4	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Guest	MP	notMinister	-	-	-	-	MilanStech	Štěch, Milan	M	-	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u5	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u6	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	-	Centre-right to right	AdolfBeznoska.1961	Beznoska, Adolf	M	1961	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u7	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u8	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	RomanKubicek.1963	Kubíček, Roman	M	1963	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u9	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u10	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	-	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u11	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u12	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Guest	MP	notMinister	-	-	-	-	MilanStech	Štěch, Milan	M	-	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u13	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u14	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Guest	notMP	notMinister	-	-	-	-	JiriRusnok.1960	Rusnok, Jiří	M	1960	
ParlaMint-CZ-en_2013-11-27-ps2013-001-02-013-019	ParlaMint-CZ_2013-11-27-ps2013-001-02-013-019.u15	Parliament of the Czech Republic, Chamber of Deputies, 2013-11-27	2013-11-27	Lower house	ps2013	-	ps2013/001	ps2013/001/02	ps2013/001/019	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
