Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u1	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u2	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Regular	notMP	Minister	-	-	-	-	FrantisekLukl.1977	Lukl, František	M	1977	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u3	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u4	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	-	Centre-right	VaclavHoracek.1956	Horáček, Václav	M	1956	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u5	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u6	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	-	Centre-right	VaclavHoracek.1956	Horáček, Václav	M	1956	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u7	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u8	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Regular	notMP	Minister	-	-	-	-	FrantisekLukl.1977	Lukl, František	M	1977	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u9	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u10	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	-	Centre-left	RomanSklenak.1970	Sklenák, Roman	M	1970	
ParlaMint-CZ-en_2013-12-19-ps2013-004-04-006-036	ParlaMint-CZ_2013-12-19-ps2013-004-04-006-036.u11	Parliament of the Czech Republic, Chamber of Deputies, 2013-12-19	2013-12-19	Lower house	ps2013	-	ps2013/004	ps2013/004/04	ps2013/004/036	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
