Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6900	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6903	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6904	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6905	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	RančićHazim	Rančić, Hazim	M	1961	
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6906	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6908	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-12-30-1	ParlaMint-BA_2009-12-30-1.u6909	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 41	2009-12-30	Unicameralism	5. mandat	-	Sjednica 41	2009-12-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
