Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	BerniniAnnaMaria	Bernini, Anna Maria	F	1965	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	BerniniAnnaMaria	Bernini, Anna Maria	F	1965	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	RautiIsabella	Rauti, Isabella	F	1962	
ParlaMint-IT-en_2019-09-17-LEG18-Senato-sed-149	ParlaMint-IT_2019-09-17-LEG18-Senato-sed-149.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 149, Day (2019-09-17)	2019-09-17	Upper house	18 Legislatura	-	-	149 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
