Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	CrucioliMattia	Crucioli, Mattia	M	1976	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	CrucioliMattia	Crucioli, Mattia	M	1976	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	QuartoRuggiero	Quarto, Ruggiero	M	1952	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	QuartoRuggiero	Quarto, Ruggiero	M	1952	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	MantovaniMariaLaura	Mantovani, Maria Laura	F	1965	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2019-05-28-LEG18-Senato-sed-114	ParlaMint-IT_2019-05-28-LEG18-Senato-sed-114.ana.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 114, Day (2019-05-28)	2019-05-28	Upper house	18 Legislatura	-	-	114 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	MantovaniMariaLaura	Mantovani, Maria Laura	F	1965	
