Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	AugussoriLuigi	Augussori, Luigi	M	1972	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	AugussoriLuigi	Augussori, Luigi	M	1972	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	MalpezziSimonaFlavia	Malpezzi, Simona Flavia	F	1972	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	MalpezziSimonaFlavia	Malpezzi, Simona Flavia	F	1972	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	BriziarelliLuca	Briziarelli, Luca	M	1976	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	BriziarelliLuca	Briziarelli, Luca	M	1976	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2019-07-03-LEG18-Senato-sed-129	ParlaMint-IT_2019-07-03-LEG18-Senato-sed-129.ana.u17	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 129, Day (2019-07-03)	2019-07-03	Upper house	18 Legislatura	-	-	129 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
