Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e26	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e78	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e94	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MAM	Marthinsen, Marianne	F	1980	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e150	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	Minister	FrP	Fremskrittspartiet	Coalition	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e194	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MAM	Marthinsen, Marianne	F	1980	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e211	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	Minister	FrP	Fremskrittspartiet	Coalition	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e226	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e245	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SME	Meling, Siri A.	F	1963	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e266	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.HLI	Limi, Hans Andreas	M	1960	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e289	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.HOSY	Syversen, Hans Olav	M	1966	
ParlaMint-NO-en_2014-01-07	ParlaMint-NO_2014-01-07.ana.ud2264e320	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2014-01-07	2014-01-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2014-01-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.TMV	Vedum, Trygve Slagsvold	M	1978	
