Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e39	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e80	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e136	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e144	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e147	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e154	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e157	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JKL	Klinge, Jenny	F	1975	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e162	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e294	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e310	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OVB	Bollestad, Olaug Vervik	F	1961	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e355	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
