Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2014-09-30	ParlaMint-NO_2014-09-30.ana.ud629e18	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-09-30	2014-09-30	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-09-30	ParlaMint-NO_2014-09-30.ana.ud629e52	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-09-30	2014-09-30	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2014-09-30	ParlaMint-NO_2014-09-30.ana.ud629e353	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-09-30	2014-09-30	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
