Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-12-12-021-XXI-NRSITZ-00088	ParlaMint-AT_2001-12-12-021-XXI-NRSITZ-00088_d7e422	Sitting Number 88, Legislative period XXI, Wednesday, 12. December 2001	2001-12-12	Lower house	Legislative period XXI	-	-	Sitting 88	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-12-12-021-XXI-NRSITZ-00088	ParlaMint-AT_2001-12-12-021-XXI-NRSITZ-00088_d7e453	Sitting Number 88, Legislative period XXI, Wednesday, 12. December 2001	2001-12-12	Lower house	Legislative period XXI	-	-	Sitting 88	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-12-12-021-XXI-NRSITZ-00088	ParlaMint-AT_2001-12-12-021-XXI-NRSITZ-00088_d7e658	Sitting Number 88, Legislative period XXI, Wednesday, 12. December 2001	2001-12-12	Lower house	Legislative period XXI	-	-	Sitting 88	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
