Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e440	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e471	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e492	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e519	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e547	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_00357	Gartlehner, Kurt	M	1952	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e594	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e615	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_01257	Mühlbachler, Josef	M	1945	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e649	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e670	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Coalition	Right to far-right	PAD_01396	Trattner, Gilbert	M	1949	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e699	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00079	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00079_d7e721	Sitting Number 79, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 79	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_08243	Lichtenberger, Evelin	F	1954	
