Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00078	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00078_d7e358	Sitting Number 78, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00078	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00078_d7e389	Sitting Number 78, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-09-26-021-XXI-NRSITZ-00078	ParlaMint-AT_2001-09-26-021-XXI-NRSITZ-00078_d7e670	Sitting Number 78, Legislative period XXI, Wednesday, 26. September 2001	2001-09-26	Lower house	Legislative period XXI	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
