Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-11-23-021-XXI-NRSITZ-00086	ParlaMint-AT_2001-11-23-021-XXI-NRSITZ-00086_d7e482	Sitting Number 86, Legislative period XXI, Friday, 23. November 2001	2001-11-23	Lower house	Legislative period XXI	-	-	Sitting 86	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-11-23-021-XXI-NRSITZ-00086	ParlaMint-AT_2001-11-23-021-XXI-NRSITZ-00086_d7e513	Sitting Number 86, Legislative period XXI, Friday, 23. November 2001	2001-11-23	Lower house	Legislative period XXI	-	-	Sitting 86	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-11-23-021-XXI-NRSITZ-00086	ParlaMint-AT_2001-11-23-021-XXI-NRSITZ-00086_d7e674	Sitting Number 86, Legislative period XXI, Friday, 23. November 2001	2001-11-23	Lower house	Legislative period XXI	-	-	Sitting 86	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
