Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-06-07-021-XXI-NRSITZ-00073	ParlaMint-AT_2001-06-07-021-XXI-NRSITZ-00073_d7e385	Sitting Number 73, Legislative period XXI, Thursday, 7. June 2001	2001-06-07	Lower house	Legislative period XXI	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-06-07-021-XXI-NRSITZ-00073	ParlaMint-AT_2001-06-07-021-XXI-NRSITZ-00073_d7e416	Sitting Number 73, Legislative period XXI, Thursday, 7. June 2001	2001-06-07	Lower house	Legislative period XXI	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2001-06-07-021-XXI-NRSITZ-00073	ParlaMint-AT_2001-06-07-021-XXI-NRSITZ-00073_d7e624	Sitting Number 73, Legislative period XXI, Thursday, 7. June 2001	2001-06-07	Lower house	Legislative period XXI	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
