Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2001-10-24-021-XXI-NRSITZ-00082	ParlaMint-AT_2001-10-24-021-XXI-NRSITZ-00082_d7e361	Sitting Number 82, Legislative period XXI, Wednesday, 24. October 2001	2001-10-24	Lower house	Legislative period XXI	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-10-24-021-XXI-NRSITZ-00082	ParlaMint-AT_2001-10-24-021-XXI-NRSITZ-00082_d7e392	Sitting Number 82, Legislative period XXI, Wednesday, 24. October 2001	2001-10-24	Lower house	Legislative period XXI	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2001-10-24-021-XXI-NRSITZ-00082	ParlaMint-AT_2001-10-24-021-XXI-NRSITZ-00082_d7e588	Sitting Number 82, Legislative period XXI, Wednesday, 24. October 2001	2001-10-24	Lower house	Legislative period XXI	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
