Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-01-14-020-XX-NRSITZ-00056	ParlaMint-AT_1997-01-14-020-XX-NRSITZ-00056_d7e394	Sitting Number 56, Legislative period XX, Tuesday, 14. January 1997	1997-01-14	Lower house	Legislative period XX	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-01-14-020-XX-NRSITZ-00056	ParlaMint-AT_1997-01-14-020-XX-NRSITZ-00056_d7e425	Sitting Number 56, Legislative period XX, Tuesday, 14. January 1997	1997-01-14	Lower house	Legislative period XX	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-01-14-020-XX-NRSITZ-00056	ParlaMint-AT_1997-01-14-020-XX-NRSITZ-00056_d7e534	Sitting Number 56, Legislative period XX, Tuesday, 14. January 1997	1997-01-14	Lower house	Legislative period XX	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
