Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-06-12-020-XX-NRSITZ-00079	ParlaMint-AT_1997-06-12-020-XX-NRSITZ-00079_d7e431	Sitting Number 79, Legislative period XX, Thursday, 12. June 1997	1997-06-12	Lower house	Legislative period XX	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1997-06-12-020-XX-NRSITZ-00079	ParlaMint-AT_1997-06-12-020-XX-NRSITZ-00079_d7e465	Sitting Number 79, Legislative period XX, Thursday, 12. June 1997	1997-06-12	Lower house	Legislative period XX	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1997-06-12-020-XX-NRSITZ-00079	ParlaMint-AT_1997-06-12-020-XX-NRSITZ-00079_d7e651	Sitting Number 79, Legislative period XX, Thursday, 12. June 1997	1997-06-12	Lower house	Legislative period XX	-	-	Sitting 79	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
