Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-12-10-020-XX-NRSITZ-00103	ParlaMint-AT_1997-12-10-020-XX-NRSITZ-00103_d7e631	Sitting Number 103, Legislative period XX, Wednesday, 10. December 1997	1997-12-10	Lower house	Legislative period XX	-	-	Sitting 103	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-12-10-020-XX-NRSITZ-00103	ParlaMint-AT_1997-12-10-020-XX-NRSITZ-00103_d7e662	Sitting Number 103, Legislative period XX, Wednesday, 10. December 1997	1997-12-10	Lower house	Legislative period XX	-	-	Sitting 103	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-12-10-020-XX-NRSITZ-00103	ParlaMint-AT_1997-12-10-020-XX-NRSITZ-00103_d7e820	Sitting Number 103, Legislative period XX, Wednesday, 10. December 1997	1997-12-10	Lower house	Legislative period XX	-	-	Sitting 103	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
