Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-09-19-020-XX-NRSITZ-00086	ParlaMint-AT_1997-09-19-020-XX-NRSITZ-00086_d7e339	Sitting Number 86, Legislative period XX, Friday, 19. September 1997	1997-09-19	Lower house	Legislative period XX	-	-	Sitting 86	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-09-19-020-XX-NRSITZ-00086	ParlaMint-AT_1997-09-19-020-XX-NRSITZ-00086_d7e373	Sitting Number 86, Legislative period XX, Friday, 19. September 1997	1997-09-19	Lower house	Legislative period XX	-	-	Sitting 86	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-09-19-020-XX-NRSITZ-00086	ParlaMint-AT_1997-09-19-020-XX-NRSITZ-00086_d7e617	Sitting Number 86, Legislative period XX, Friday, 19. September 1997	1997-09-19	Lower house	Legislative period XX	-	-	Sitting 86	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
