Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-05-06-020-XX-NRSITZ-00073	ParlaMint-AT_1997-05-06-020-XX-NRSITZ-00073_d7e361	Sitting Number 73, Legislative period XX, Tuesday, 6. May 1997	1997-05-06	Lower house	Legislative period XX	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1997-05-06-020-XX-NRSITZ-00073	ParlaMint-AT_1997-05-06-020-XX-NRSITZ-00073_d7e392	Sitting Number 73, Legislative period XX, Tuesday, 6. May 1997	1997-05-06	Lower house	Legislative period XX	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1997-05-06-020-XX-NRSITZ-00073	ParlaMint-AT_1997-05-06-020-XX-NRSITZ-00073_d7e416	Sitting Number 73, Legislative period XX, Tuesday, 6. May 1997	1997-05-06	Lower house	Legislative period XX	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1997-05-06-020-XX-NRSITZ-00073	ParlaMint-AT_1997-05-06-020-XX-NRSITZ-00073_d7e525	Sitting Number 73, Legislative period XX, Tuesday, 6. May 1997	1997-05-06	Lower house	Legislative period XX	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
