Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-01-23-020-XX-NRSITZ-00059	ParlaMint-AT_1997-01-23-020-XX-NRSITZ-00059_d7e395	Sitting Number 59, Legislative period XX, Thursday, 23. January 1997	1997-01-23	Lower house	Legislative period XX	-	-	Sitting 59	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-01-23-020-XX-NRSITZ-00059	ParlaMint-AT_1997-01-23-020-XX-NRSITZ-00059_d7e426	Sitting Number 59, Legislative period XX, Thursday, 23. January 1997	1997-01-23	Lower house	Legislative period XX	-	-	Sitting 59	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1997-01-23-020-XX-NRSITZ-00059	ParlaMint-AT_1997-01-23-020-XX-NRSITZ-00059_d7e547	Sitting Number 59, Legislative period XX, Thursday, 23. January 1997	1997-01-23	Lower house	Legislative period XX	-	-	Sitting 59	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
