Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-11-14-020-XX-NRSITZ-00100	ParlaMint-AT_1997-11-14-020-XX-NRSITZ-00100_d7e564	Sitting Number 100, Legislative period XX, Friday, 14. November 1997	1997-11-14	Lower house	Legislative period XX	-	-	Sitting 100	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-11-14-020-XX-NRSITZ-00100	ParlaMint-AT_1997-11-14-020-XX-NRSITZ-00100_d7e595	Sitting Number 100, Legislative period XX, Friday, 14. November 1997	1997-11-14	Lower house	Legislative period XX	-	-	Sitting 100	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-11-14-020-XX-NRSITZ-00100	ParlaMint-AT_1997-11-14-020-XX-NRSITZ-00100_d7e781	Sitting Number 100, Legislative period XX, Friday, 14. November 1997	1997-11-14	Lower house	Legislative period XX	-	-	Sitting 100	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
