Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1997-02-27-020-XX-NRSITZ-00065	ParlaMint-AT_1997-02-27-020-XX-NRSITZ-00065_d7e373	Sitting Number 65, Legislative period XX, Thursday, 27. February 1997	1997-02-27	Lower house	Legislative period XX	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-02-27-020-XX-NRSITZ-00065	ParlaMint-AT_1997-02-27-020-XX-NRSITZ-00065_d7e404	Sitting Number 65, Legislative period XX, Thursday, 27. February 1997	1997-02-27	Lower house	Legislative period XX	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1997-02-27-020-XX-NRSITZ-00065	ParlaMint-AT_1997-02-27-020-XX-NRSITZ-00065_d7e534	Sitting Number 65, Legislative period XX, Thursday, 27. February 1997	1997-02-27	Lower house	Legislative period XX	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
