Session,Date,Male,Female
ParlaMint-GR-en_2015-02-05-S1-commons-meta.tsv,2015-02-05,1,0
ParlaMint-GR-en_2015-02-06-S1-commons-meta.tsv,2015-02-06,1,1
ParlaMint-GR-en_2015-02-06-S2-commons-meta.tsv,2015-02-06,4,1
ParlaMint-GR-en_2015-02-08-S1-commons-meta.tsv,2015-02-08,3,1
ParlaMint-GR-en_2015-02-09-S1-commons-meta.tsv,2015-02-09,61,13
ParlaMint-GR-en_2015-02-10-S1-commons-meta.tsv,2015-02-10,65,13
ParlaMint-GR-en_2015-02-18-S1-commons-meta.tsv,2015-02-18,0,1
ParlaMint-GR-en_2015-02-24-S1-commons-meta.tsv,2015-02-24,23,5
ParlaMint-GR-en_2015-03-10-S1-commons-meta.tsv,2015-03-10,31,8
ParlaMint-GR-en_2015-03-13-S1-commons-meta.tsv,2015-03-13,1,0
ParlaMint-GR-en_2015-03-17-S1-commons-meta.tsv,2015-03-17,36,11
ParlaMint-GR-en_2015-03-18-S1-commons-meta.tsv,2015-03-18,35,10
ParlaMint-GR-en_2015-03-18-S2-commons-meta.tsv,2015-03-18,55,25
ParlaMint-GR-en_2015-03-19-S1-commons-meta.tsv,2015-03-19,21,3
ParlaMint-GR-en_2015-03-20-S1-commons-meta.tsv,2015-03-20,55,11
ParlaMint-GR-en_2015-03-26-S1-commons-meta.tsv,2015-03-26,10,2
ParlaMint-GR-en_2015-03-27-S1-commons-meta.tsv,2015-03-27,2,1
ParlaMint-GR-en_2015-03-30-S1-commons-meta.tsv,2015-03-30,37,5
ParlaMint-GR-en_2015-04-02-S1-commons-meta.tsv,2015-04-02,11,3
ParlaMint-GR-en_2015-04-03-S1-commons-meta.tsv,2015-04-03,10,0
ParlaMint-GR-en_2015-04-06-S1-commons-meta.tsv,2015-04-06,40,6
ParlaMint-GR-en_2015-04-16-S1-commons-meta.tsv,2015-04-16,27,9
ParlaMint-GR-en_2015-04-16-S2-commons-meta.tsv,2015-04-16,34,20
ParlaMint-GR-en_2015-04-17-S1-commons-meta.tsv,2015-04-17,40,25
ParlaMint-GR-en_2015-04-20-S1-commons-meta.tsv,2015-04-20,18,5
ParlaMint-GR-en_2015-04-23-S1-commons-meta.tsv,2015-04-23,6,0
ParlaMint-GR-en_2015-04-24-S1-commons-meta.tsv,2015-04-24,63,16
ParlaMint-GR-en_2015-04-27-S1-commons-meta.tsv,2015-04-27,40,14
ParlaMint-GR-en_2015-04-28-S1-commons-meta.tsv,2015-04-28,52,16
ParlaMint-GR-en_2015-04-28-S2-commons-meta.tsv,2015-04-28,42,14
ParlaMint-GR-en_2015-04-30-S1-commons-meta.tsv,2015-04-30,13,4
ParlaMint-GR-en_2015-05-04-S1-commons-meta.tsv,2015-05-04,30,8
ParlaMint-GR-en_2015-05-05-S1-commons-meta.tsv,2015-05-05,36,13
ParlaMint-GR-en_2015-05-05-S2-commons-meta.tsv,2015-05-05,48,20
