Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e48	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OE	Eriksen, Odd	M	1955	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e59	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e68	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e83	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OLAG	Gjedrem, Olaf	M	1948	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e92	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	-	Centre-left	person.SKB	Brustad, Sylvia	F	1966	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e101	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e109	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e189	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-03-23-lower-2	ParlaMint-NO_2000-03-23-lower-2.ana.ud502e197	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-23	2000-03-23	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
