Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e34	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KNA	Nakkim, Kjellaug	F	1940	
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e55	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.INGS	Sørfonn, Ingebrigt S.	M	1950	
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e70	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e78	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e199	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e206	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-18-lower-2	ParlaMint-NO_2000-05-18-lower-2.ana.ud2e215	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-18	2000-05-18	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-18	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
