Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e33	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e38	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TTH	Thoresen, Tom	M	1947	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e43	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e55	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e157	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AK	Kvakkestad, André	M	1971	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e178	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.EIS	Steensnæs, Einar	M	1942	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e206	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e242	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JJJ	Jakobsen, Johan J.	M	1937	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e280	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.LIR	Rugtvedt, Lisbet	F	1967	
ParlaMint-NO-en_2000-06-06	ParlaMint-NO_2000-06-06.ana.ud380e318	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-06	2000-06-06	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
