Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e75	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e103	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.MABV	Vihovde, May Britt	F	1958	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e108	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e122	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e138	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e148	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-30-upper	ParlaMint-NO_2000-11-30-upper.ana.ud23e160	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-30	2000-11-30	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-30	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
