Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e48	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.VB	Bjørnstad, Vidar	M	1955	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e164	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e193	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e196	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KKD	Devold, Kristin Krohn	F	1961	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e219	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e222	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KKD	Devold, Kristin Krohn	F	1961	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e227	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e230	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.TNY	Nymo, Tor	M	1940	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e248	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e261	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e269	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-16-lower	ParlaMint-NO_2000-05-16-lower.ana.ud445e275	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-16	2000-05-16	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
