Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e54	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e77	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KARK	Kjølmoen, Karin	F	1946	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e92	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e120	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e140	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e159	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e162	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.GK	Knudsen, Grete	F	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e188	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e192	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
