Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e68	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e82	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e92	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e104	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e197	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e200	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e359	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e379	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e391	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e403	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e413	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-04-11-upper	ParlaMint-NO_2000-04-11-upper.ana.ud2064e425	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
