Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e106	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e115	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INS	Stolt-Nielsen, Inger	F	1943	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e128	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e141	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e144	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e151	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e154	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JLS	Stang, Jørn L.	M	1959	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e165	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2000-06-08	ParlaMint-NO_2000-06-08.ana.ud1272e192	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-06-08	2000-06-08	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-06-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
