Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-11-23-lower	ParlaMint-NO_2000-11-23-lower.ana.ud2606e38	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2000-11-23-lower	ParlaMint-NO_2000-11-23-lower.ana.ud2606e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-23-lower	ParlaMint-NO_2000-11-23-lower.ana.ud2606e74	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-23-lower	ParlaMint-NO_2000-11-23-lower.ana.ud2606e917	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-23-lower	ParlaMint-NO_2000-11-23-lower.ana.ud2606e926	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
