Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e34	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e87	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e90	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e97	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e100	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e113	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e122	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	-	Centre-left	person.SIB	Bjerke, Siri	F	1958	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e139	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e147	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e153	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-11-lower-2	ParlaMint-NO_2000-05-11-lower-2.ana.ud2352e234	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-11	2000-05-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-11	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
