Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e98	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e112	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ED	Dalheim, Erik	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e182	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e210	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e213	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LR	Rise, Lars	M	1955	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e243	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e266	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e278	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ED	Dalheim, Erik	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e291	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e294	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e333	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e348	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e360	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2000-10-31-upper	ParlaMint-NO_2000-10-31-upper.ana.ud985e374	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-31	2000-10-31	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-31	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
