Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e31	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e113	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e116	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e121	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e133	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e147	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.LLU	Lund, Leif	M	1942	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e156	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e169	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_2000-10-26	ParlaMint-NO_2000-10-26.ana.ud830e329	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-10-26	2000-10-26	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-10-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
