Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e18	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e55	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e58	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e65	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e68	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e73	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e76	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.HEW	Warloe, Henning	M	1961	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e82	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2010-09-30	ParlaMint-NO_2010-09-30.ana.ud43e486	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2010-2011, Sitting day 2010-09-30	2010-09-30	Unicameralism	Term 2009-2013	Session 2010-2011	-	Sitting day 2010-09-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
