Session,Date,Male,Female
ParlaMint-NO-en_1998-10-01-lower-meta.tsv,1998-10-01,4,1
ParlaMint-NO-en_1998-10-01-upper-meta.tsv,1998-10-01,4,1
ParlaMint-NO-en_1998-10-13-lower-meta.tsv,1998-10-13,0,0
ParlaMint-NO-en_1998-10-20-meta.tsv,1998-10-20,11,8
ParlaMint-NO-en_1998-10-21-meta.tsv,1998-10-21,19,14
ParlaMint-NO-en_1998-10-22-lower-meta.tsv,1998-10-22,1,0
ParlaMint-NO-en_1998-10-22-meta.tsv,1998-10-22,14,13
ParlaMint-NO-en_1998-10-27-meta.tsv,1998-10-27,6,4
ParlaMint-NO-en_1998-10-27-upper-meta.tsv,1998-10-27,1,0
ParlaMint-NO-en_1998-10-28-meta.tsv,1998-10-28,32,16
ParlaMint-NO-en_1998-10-29-meta.tsv,1998-10-29,6,3
ParlaMint-NO-en_1998-11-03-meta.tsv,1998-11-03,16,4
ParlaMint-NO-en_1998-11-04-meta.tsv,1998-11-04,22,11
ParlaMint-NO-en_1998-11-05-meta.tsv,1998-11-05,19,15
ParlaMint-NO-en_1998-11-13-lower-meta.tsv,1998-11-13,3,4
ParlaMint-NO-en_1998-11-13-meta.tsv,1998-11-13,5,4
ParlaMint-NO-en_1998-11-16-meta.tsv,1998-11-16,1,2
ParlaMint-NO-en_1998-11-17-meta.tsv,1998-11-17,6,1
ParlaMint-NO-en_1998-11-17-upper-meta.tsv,1998-11-17,2,1
ParlaMint-NO-en_1998-11-18-meta.tsv,1998-11-18,32,17
ParlaMint-NO-en_1998-11-19-meta.tsv,1998-11-19,2,0
ParlaMint-NO-en_1998-11-23-lower-meta.tsv,1998-11-23,6,5
ParlaMint-NO-en_1998-11-23-meta.tsv,1998-11-23,13,5
ParlaMint-NO-en_1998-11-24-lower-meta.tsv,1998-11-24,6,3
ParlaMint-NO-en_1998-11-24-meta.tsv,1998-11-24,14,6
ParlaMint-NO-en_1998-11-25-lower-meta.tsv,1998-11-25,0,1
ParlaMint-NO-en_1998-11-25-meta.tsv,1998-11-25,1,0
ParlaMint-NO-en_1998-11-26-meta.tsv,1998-11-26,8,8
ParlaMint-NO-en_1998-11-27-meta.tsv,1998-11-27,14,3
ParlaMint-NO-en_1998-11-30-2-meta.tsv,1998-11-30,30,10
ParlaMint-NO-en_1998-11-30-meta.tsv,1998-11-30,30,17
