Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DillenMarijke	Dillen, Marijke	F	1960	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DillenMarijke	Dillen, Marijke	F	1960	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DillenMarijke	Dillen, Marijke	F	1960	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	BuryKatleen	Bury, Katleen	F	1983	
ParlaMint-BE-en_2021-12-15-definitief-55-commissie-ic644x	ParlaMint-BE_2021-12-15-definitief-55-commissie-ic644x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-12-2021	2021-12-15	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
