Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic496x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic496x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
