Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	ParentNicolas	Parent, Nicolas	M	1982	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	ParentNicolas	Parent, Nicolas	M	1982	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	LacroixChristophe	Lacroix, Christophe	M	1966	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	LacroixChristophe	Lacroix, Christophe	M	1966	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	BenAchourMalik	Ben Achour, Malik	M	1979	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	BenAchourMalik	Ben Achour, Malik	M	1979	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-02-definitief-55-commissie-ic358x	ParlaMint-BE_2021-02-02-definitief-55-commissie-ic358x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-02-2021	2021-02-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
