Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanPeelValerie	Van Peel, Valerie	F	1979	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	BombledChristophe	Bombled, Christophe	M	1973	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-09-22-definitief-55-commissie-ic573x	ParlaMint-BE_2021-09-22-definitief-55-commissie-ic573x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-09-2021	2021-09-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
